               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.023449,            0.017522,           0.0018478,             0.88217,             0.65799,             0.73713,             0.46141,            0.029176,            0.017702,           0.0064711,            0.002179,            0.002179,            0.002179
                  81,            0.022452,            0.016799,           0.0019453,             0.82933,             0.68855,             0.74547,             0.46505,            0.028821,            0.017728,           0.0059654,             0.00208,             0.00208,             0.00208
                  82,            0.023769,            0.017357,           0.0020368,             0.91299,             0.65248,             0.73945,             0.46196,            0.029176,            0.017739,           0.0060374,            0.001981,            0.001981,            0.001981
                  83,            0.022624,            0.017454,           0.0020118,             0.86242,             0.66715,             0.73334,             0.45878,             0.02902,            0.017911,           0.0061514,            0.001882,            0.001882,            0.001882
                  84,            0.023244,            0.016962,            0.001844,             0.81009,             0.68328,             0.73247,             0.46396,            0.028955,            0.017647,           0.0061576,            0.001783,            0.001783,            0.001783
                  85,            0.022399,              0.0164,           0.0015913,             0.86835,             0.65208,             0.72873,             0.45948,            0.028914,            0.017555,           0.0066222,            0.001684,            0.001684,            0.001684
                  86,             0.02342,            0.017022,           0.0024886,             0.82197,             0.68663,             0.73442,             0.46486,            0.028747,            0.017426,           0.0064041,            0.001585,            0.001585,            0.001585
                  87,            0.022268,            0.016482,             0.00159,             0.86779,             0.68944,             0.73962,              0.4635,            0.029015,            0.017369,           0.0062547,            0.001486,            0.001486,            0.001486
                  88,            0.022782,            0.016342,           0.0018689,             0.80737,             0.69809,             0.74194,             0.45736,            0.028695,            0.017427,           0.0062375,            0.001387,            0.001387,            0.001387
                  89,            0.021758,            0.015975,            0.001695,             0.82069,              0.6687,              0.7346,             0.45505,             0.02875,            0.017604,           0.0063909,            0.001288,            0.001288,            0.001288
                  90,            0.021479,            0.016957,           0.0016947,             0.85249,             0.67371,             0.73664,             0.45262,              0.0287,            0.017437,           0.0062824,            0.001189,            0.001189,            0.001189
                  91,            0.022245,            0.017092,           0.0017573,             0.78739,             0.71174,             0.73385,             0.45336,            0.028699,            0.017575,           0.0065217,             0.00109,             0.00109,             0.00109
                  92,            0.021888,             0.01649,           0.0013156,             0.82304,             0.67119,             0.73139,             0.45112,            0.028535,            0.017668,           0.0066189,            0.000991,            0.000991,            0.000991
                  93,            0.021487,            0.016102,            0.001772,             0.85898,             0.66705,             0.72694,             0.44389,            0.028773,            0.017689,           0.0063906,            0.000892,            0.000892,            0.000892
                  94,            0.022402,             0.01713,           0.0016379,             0.84043,             0.66932,             0.72397,             0.45405,            0.028758,            0.017668,           0.0063669,            0.000793,            0.000793,            0.000793
                  95,            0.022078,            0.016582,           0.0022378,             0.83887,             0.67129,             0.72089,             0.45427,            0.028831,            0.017635,           0.0063336,            0.000694,            0.000694,            0.000694
                  96,             0.02199,            0.017578,           0.0014496,             0.82516,             0.67285,             0.71691,             0.45206,            0.028623,            0.017534,           0.0064408,            0.000595,            0.000595,            0.000595
                  97,            0.022341,            0.017419,           0.0015297,             0.82627,             0.65052,             0.72076,             0.45569,            0.028547,            0.017507,           0.0066345,            0.000496,            0.000496,            0.000496
                  98,            0.021189,            0.016782,           0.0013256,             0.81636,             0.67103,             0.72061,              0.4534,            0.028424,            0.017518,           0.0067144,            0.000397,            0.000397,            0.000397
                  99,            0.021017,            0.015507,           0.0014738,             0.84818,             0.66978,             0.71943,             0.45482,            0.028489,            0.017516,           0.0066447,            0.000298,            0.000298,            0.000298
